# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	2.074667e-01	1.736788e-01	3.887273e-01	2.901006e-01
3             	5.764118e-02	3.628256e-01	3.969436e-01	6.847050e-01
4             	1.017467e-01	1.596380e-01	1.651078e-01	1.854494e-01
5             	1.427643e-01	6.708136e-02	1.793651e-01	4.206281e-01
6             	7.617324e-02	2.124025e-01	2.306828e-01	4.089678e-01
7             	1.367240e-01	1.174357e-01	1.692035e-01	1.969997e-01
8             	1.587646e-01	7.939807e-02	1.881516e-01	2.927341e-01
9             	1.076091e-01	1.039025e-01	1.766877e-01	2.360581e-01
10            	2.339248e-01	3.430089e-02	1.069354e-01	2.251565e-01
11            	1.657105e-01	4.875833e-02	8.943309e-02	2.248217e-01
12            	1.386720e-01	6.234995e-02	8.290956e-02	1.415581e-01
13            	3.461395e-01	1.854965e-02	8.656241e-02	1.463555e-01
14            	2.165052e-01	3.664034e-02	9.076977e-02	1.763162e-01
15            	2.060127e-01	3.257922e-02	7.488343e-02	1.716985e-01
16            	5.882438e-01	1.398869e-02	6.017414e-02	1.809213e-01
17            	2.413988e-01	2.348433e-02	5.773905e-02	1.560905e-01
18            	2.427664e-01	1.967422e-02	5.651577e-02	1.194927e-01
19            	5.633843e-01	1.289921e-02	5.842594e-02	1.291285e-01
20            	3.145883e-01	1.659147e-02	5.687611e-02	1.350215e-01
21            	3.090810e-01	1.271501e-02	5.512836e-02	1.225583e-01
22            	6.211727e-01	9.936156e-03	5.251281e-02	1.268305e-01
23            	3.429285e-01	1.154272e-02	4.681227e-02	1.236928e-01
24            	3.061061e-01	9.246331e-03	4.491383e-02	1.062946e-01
25            	4.664692e-01	7.778513e-03	4.911063e-02	9.985440e-02
26            	4.577664e-01	8.428773e-03	4.863088e-02	1.043133e-01
27            	3.541476e-01	6.966834e-03	4.768281e-02	9.586456e-02
28            	4.208188e-01	5.613372e-03	4.724675e-02	7.860162e-02
29            	4.992810e-01	5.903581e-03	4.081161e-02	6.831519e-02
30            	3.321457e-01	5.569441e-03	3.705211e-02	7.186666e-02
31            	3.253364e-01	4.213479e-03	3.819152e-02	7.275177e-02
32            	4.260312e-01	3.763980e-03	3.955827e-02	6.613436e-02
33            	5.324992e-01	3.753791e-03	3.852046e-02	5.891888e-02
34            	4.321508e-01	3.268476e-03	3.629542e-02	5.817301e-02
35            	4.609425e-01	2.568334e-03	3.345671e-02	5.381620e-02
