# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	ground	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.000000e+00	buildings	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1.000000e+02	ground	(-1.771823e-01 -2.225564e-01 -4.775113e-02)	(2.059772e-01 2.525224e-01 5.410154e-02)
1.000000e+02	buildings	(-7.394734e+00 -8.419855e+00 -1.102319e+01)	(7.112838e-01 3.029024e+00 1.488082e+00)
2.000000e+02	ground	(-1.746396e-01 -2.442030e-01 -4.203364e-02)	(2.550952e-01 2.752814e-01 4.383666e-02)
2.000000e+02	buildings	(-6.777249e+00 -8.473533e+00 -1.108599e+01)	(7.120424e-01 3.458898e+00 1.866856e+00)
3.000000e+02	ground	(-1.740116e-01 -2.313622e-01 -4.328099e-02)	(2.749714e-01 2.646377e-01 4.881445e-02)
3.000000e+02	buildings	(-6.713567e+00 -8.416089e+00 -1.099122e+01)	(7.016982e-01 3.299180e+00 1.708487e+00)
4.000000e+02	ground	(-1.770327e-01 -2.374002e-01 -4.511548e-02)	(2.681745e-01 2.625426e-01 4.845699e-02)
4.000000e+02	buildings	(-6.818616e+00 -8.435054e+00 -1.101248e+01)	(7.103384e-01 3.299929e+00 1.578512e+00)
5.000000e+02	ground	(-1.793976e-01 -2.393936e-01 -4.505328e-02)	(2.679955e-01 2.602538e-01 4.858011e-02)
5.000000e+02	buildings	(-6.739912e+00 -8.419250e+00 -1.100326e+01)	(7.285548e-01 3.311027e+00 1.593816e+00)
6.000000e+02	ground	(-1.857564e-01 -2.427775e-01 -4.521653e-02)	(2.664409e-01 2.574488e-01 4.853267e-02)
6.000000e+02	buildings	(-6.721425e+00 -8.414677e+00 -1.099436e+01)	(7.081955e-01 3.293530e+00 1.599489e+00)
7.000000e+02	ground	(-1.834541e-01 -2.423701e-01 -4.489102e-02)	(2.661207e-01 2.572117e-01 4.837002e-02)
7.000000e+02	buildings	(-6.663006e+00 -8.407296e+00 -1.097628e+01)	(6.983942e-01 3.283087e+00 1.610111e+00)
8.000000e+02	ground	(-1.837500e-01 -2.441071e-01 -4.477315e-02)	(2.666947e-01 2.591284e-01 4.878251e-02)
8.000000e+02	buildings	(-6.639177e+00 -8.400142e+00 -1.097076e+01)	(7.098033e-01 3.283684e+00 1.615873e+00)
9.000000e+02	ground	(-1.836585e-01 -2.437595e-01 -4.480524e-02)	(2.667247e-01 2.591580e-01 4.896530e-02)
9.000000e+02	buildings	(-6.663073e+00 -8.411638e+00 -1.098923e+01)	(7.124928e-01 3.287927e+00 1.604276e+00)
1.000000e+03	ground	(-1.843174e-01 -2.439606e-01 -4.487835e-02)	(2.667874e-01 2.584135e-01 4.891106e-02)
1.000000e+03	buildings	(-6.681454e+00 -8.412678e+00 -1.099049e+01)	(7.096385e-01 3.291874e+00 1.602857e+00)
1.100000e+03	ground	(-1.840751e-01 -2.441226e-01 -4.471942e-02)	(2.668129e-01 2.578142e-01 4.889427e-02)
1.100000e+03	buildings	(-6.666599e+00 -8.410304e+00 -1.098551e+01)	(7.109364e-01 3.289771e+00 1.611083e+00)
1.200000e+03	ground	(-1.842389e-01 -2.445929e-01 -4.482664e-02)	(2.668673e-01 2.578073e-01 4.883706e-02)
1.200000e+03	buildings	(-6.657210e+00 -8.407410e+00 -1.097953e+01)	(7.108153e-01 3.287557e+00 1.609450e+00)
1.300000e+03	ground	(-1.839961e-01 -2.444579e-01 -4.477064e-02)	(2.668995e-01 2.583946e-01 4.885477e-02)
1.300000e+03	buildings	(-6.656603e+00 -8.407363e+00 -1.098064e+01)	(7.111143e-01 3.286103e+00 1.611964e+00)
1.400000e+03	ground	(-1.841795e-01 -2.442285e-01 -4.478953e-02)	(2.669014e-01 2.587390e-01 4.881706e-02)
1.400000e+03	buildings	(-6.666479e+00 -8.409816e+00 -1.098450e+01)	(7.108372e-01 3.286675e+00 1.606803e+00)
1.500000e+03	ground	(-1.843052e-01 -2.439705e-01 -4.476218e-02)	(2.668605e-01 2.587252e-01 4.878269e-02)
1.500000e+03	buildings	(-6.670946e+00 -8.411348e+00 -1.098674e+01)	(7.103725e-01 3.288365e+00 1.606122e+00)
1.600000e+03	ground	(-1.844267e-01 -2.437566e-01 -4.473153e-02)	(2.668279e-01 2.587427e-01 4.868581e-02)
1.600000e+03	buildings	(-6.671826e+00 -8.411294e+00 -1.098637e+01)	(7.095082e-01 3.287136e+00 1.603215e+00)
1.700000e+03	ground	(-1.845097e-01 -2.435878e-01 -4.471094e-02)	(2.667870e-01 2.587999e-01 4.860517e-02)
1.700000e+03	buildings	(-6.671131e+00 -8.411034e+00 -1.098580e+01)	(7.087387e-01 3.285852e+00 1.602639e+00)
1.724000e+03	ground	(-1.845280e-01 -2.435522e-01 -4.470697e-02)	(2.667772e-01 2.588206e-01 4.859353e-02)
1.724000e+03	buildings	(-6.671086e+00 -8.411070e+00 -1.098570e+01)	(7.085860e-01 3.285786e+00 1.602318e+00)
