# y+ ()       
# Time        	patch         	min           	max           	average       
0             	ground	2.461808e+02	4.190882e+04	1.126161e+04
0             	buildings	2.461808e+02	2.712658e+04	1.068464e+04
100           	ground	4.177273e+01	6.560227e+04	1.292221e+04
100           	buildings	4.177273e+01	8.486855e+04	1.680691e+04
200           	ground	2.661050e+01	6.425991e+04	1.315407e+04
200           	buildings	2.661050e+01	8.366695e+04	1.790928e+04
300           	ground	5.016216e+01	6.805319e+04	1.324584e+04
300           	buildings	5.016216e+01	8.536540e+04	1.815698e+04
400           	ground	4.357255e+01	7.257006e+04	1.328108e+04
400           	buildings	4.357255e+01	8.713762e+04	1.831761e+04
500           	ground	4.657585e+01	7.335738e+04	1.329931e+04
500           	buildings	4.657585e+01	8.593084e+04	1.843437e+04
600           	ground	5.079880e+01	7.430605e+04	1.327699e+04
600           	buildings	5.079880e+01	8.484915e+04	1.841085e+04
700           	ground	4.572232e+01	7.450001e+04	1.328567e+04
700           	buildings	4.572232e+01	8.502310e+04	1.840079e+04
800           	ground	3.802369e+01	7.604519e+04	1.329992e+04
800           	buildings	3.802369e+01	8.425654e+04	1.841879e+04
900           	ground	4.096881e+01	7.625645e+04	1.329489e+04
900           	buildings	4.096881e+01	8.453777e+04	1.841173e+04
1000          	ground	4.130594e+01	7.646243e+04	1.328573e+04
1000          	buildings	4.130594e+01	8.466152e+04	1.839652e+04
1100          	ground	4.125347e+01	7.644485e+04	1.329097e+04
1100          	buildings	4.125347e+01	8.447896e+04	1.838373e+04
1200          	ground	4.025110e+01	7.633423e+04	1.329081e+04
1200          	buildings	4.025110e+01	8.487078e+04	1.838701e+04
1300          	ground	4.132791e+01	7.639369e+04	1.329368e+04
1300          	buildings	4.132791e+01	8.481783e+04	1.838602e+04
1400          	ground	4.300957e+01	7.641786e+04	1.329108e+04
1400          	buildings	4.300957e+01	8.501876e+04	1.838146e+04
1500          	ground	4.350887e+01	7.639896e+04	1.328951e+04
1500          	buildings	4.350887e+01	8.510016e+04	1.837483e+04
1600          	ground	4.360539e+01	7.639730e+04	1.328777e+04
1600          	buildings	4.360539e+01	8.520336e+04	1.836551e+04
1700          	ground	4.343594e+01	7.637878e+04	1.328653e+04
1700          	buildings	4.343594e+01	8.530455e+04	1.835744e+04
1724          	ground	4.338266e+01	7.637677e+04	1.328621e+04
1724          	buildings	4.338266e+01	8.533562e+04	1.835577e+04
